A,C,B
1,64,28
1,39,31
0,59,78
1,58,29
0,59,83
1,74,29
0,75,81
1,98,59
1,86,12
1,65,13
0,76,66
0,50,73
0,98,66
1,64,18
0,91,71
0,92,89
0,88,64
1,98,17
1,42,22
1,20,29
0,74,75
1,57,20
1,87,31
1,48,24
0,66,86
1,33,28
1,79,11
1,18,10
0,94,74
0,96,87
1,60,37
0,50,74
1,90,44
0,83,92
1,69,40
1,19,9
1,41,39
1,58,28
0,89,82
1,60,37
1,27,19
1,29,39
1,48,30
1,43,27
0,61,83
0,74,77
1,65,27
0,84,80
0,57,66
1,70,19
1,66,37
0,82,66
1,87,20
1,35,36
0,77,84
0,73,81
0,93,84
1,99,35
0,94,90
0,92,74
1,55,9
1,32,26
1,14,24
0,83,71
0,91,70
1,79,34
0,96,67
1,79,10
1,42,9
0,79,74
0,64,70
1,76,36
1,9,10
1,10,27
1,90,36
1,23,3
1,53,4
1,91,38
1,44,20
1,8,7
1,6,3
0,67,70
0,91,80
0,79,68
0,83,92
0,71,72
0,81,75
0,83,73
0,62,80
1,99,32
1,28,25
0,69,78
0,77,75
0,82,76
0,90,81
1,12,18
0,78,63
0,94,76
1,75,29
1,18,26
0,52,83
0,84,79
1,75,17
1,41,23
1,27,22
1,63,8
1,19,13
0,76,83
0,82,85
0,67,69
0,86,66
1,58,16
0,76,84
1,88,32
1,73,19
1,75,39
1,51,32
1,37,35
1,63,18
0,98,69
1,11,2
0,67,81
1,22,16
0,88,82
0,98,84
0,64,77
1,64,33
0,74,75
1,74,34
1,20,14
0,72,73
1,39,29
1,45,17
0,65,81
1,49,17
1,68,34
0,92,79
0,86,80
1,56,26
0,83,80
0,79,82
0,89,76
0,57,79
0,73,83
0,79,73
0,54,69
0,59,72
1,14,15
0,72,85
1,50,47
1,89,28
1,79,30
0,80,75
0,85,79
1,15,29
0,67,75
1,44,34
0,64,90
0,69,62
1,6,8
1,42,21
1,51,38
1,32,13
1,62,42
1,23,1
1,30,10
1,39,15
0,99,67
1,7,21
0,53,93
1,35,29
0,73,56
1,74,36
0,81,69
1,96,25
0,56,71
1,56,19
1,15,31
1,98,21
0,80,82
1,64,25
0,61,81
1,76,29
1,46,8
0,65,89
1,96,36
1,84,29
1,90,22
0,59,70
1,33,30
1,69,36
1,83,38
1,23,3
1,39,24
1,76,40
0,63,63
0,57,79
0,77,72
0,62,83
1,73,35
1,66,28
1,86,23
1,73,37
0,93,87
1,47,56
0,87,61
1,5,28
1,15,26
0,73,70
1,64,26
0,74,76
1,51,1
1,28,9
0,83,79
1,33,15
1,42,20
0,84,72
1,6,16
1,19,4
1,34,18
0,71,80
0,95,77
1,80,16
1,24,27
0,82,87
0,70,79
1,17,27
0,43,85
0,83,73
0,66,72
1,25,15
1,32,31
1,56,46
0,72,74
1,14,23
1,27,30
1,61,28
0,86,70
1,44,5
1,0,28
1,41,38
1,42,28
0,78,78
0,59,85
1,15,10
0,66,69
1,81,44
0,63,81
1,58,32
1,48,40
0,96,88
0,88,76
0,97,74
0,95,85
1,8,0
1,87,50
0,66,71
0,83,75
1,57,22
0,81,78
1,34,24
1,28,45
1,51,31
1,19,11
0,82,87
1,38,9
0,80,79
1,70,34
0,95,83
1,67,33
1,33,26
0,68,86
1,59,26
0,78,75
1,18,20
0,87,81
0,65,78
1,44,16
0,83,79
1,37,13
1,57,12
0,79,64
1,69,18
1,26,24
1,28,16
0,62,52
0,57,69
0,59,76
0,82,72
1,62,21
1,68,25
0,57,82
1,30,12
1,50,43
1,59,28
1,46,29
0,64,56
1,51,13
0,73,90
1,86,15
0,79,62
0,79,78
1,78,15
1,96,16
1,70,38
1,92,31
1,48,39
1,59,34
1,88,29
0,93,64
1,26,21
1,42,22
1,85,27
1,57,11
1,18,15
1,78,34
1,83,31
1,40,24
1,51,37
1,59,16
1,14,11
1,37,12
1,89,37
1,24,24
0,72,65
1,43,28
0,76,74
0,88,69
1,85,46
0,94,84
0,88,71
1,57,31
1,39,31
1,27,30
0,61,73
0,73,86
0,74,88
0,70,75
1,66,11
1,40,27
0,80,76
1,32,8
1,62,37
1,36,18
0,74,81
0,72,65
1,36,30
0,57,61
1,26,20
0,72,70
1,88,34
1,35,15
0,89,84
0,93,67
1,4,23
1,38,4
0,98,82
1,47,30
0,82,87
0,75,78
0,82,70
0,71,77
0,92,78
0,78,76
1,90,22
0,65,78
0,37,77
0,92,96
1,47,22
0,95,72
0,93,82
1,1,10
1,15,6
0,51,77
0,98,68
0,65,64
1,59,28
1,62,13
0,80,87
0,84,69
1,67,47
1,65,42
1,73,26
1,43,15
0,69,88
1,56,33
0,93,74
0,52,74
1,28,15
1,33,14
0,74,71
1,21,14
1,23,11
0,64,72
1,68,17
1,41,28
0,69,81
1,16,2
1,51,18
0,62,59
0,83,79
1,45,14
0,68,74
0,76,67
0,92,72
1,34,20
1,58,41
1,65,24
1,55,34
1,61,37
0,88,87
1,43,20
0,84,71
1,58,10
1,49,34
1,17,19
1,59,37
1,50,14
1,35,24
1,78,52
0,91,78
0,71,77
1,22,30
1,84,13
1,62,28
0,88,75
0,83,67
1,69,21
0,84,91
1,38,36
1,23,23
0,74,86
1,30,18
0,87,93
1,35,16
1,42,21
1,37,13
1,64,35
0,63,86
1,47,17
1,70,47
0,68,77
1,29,29
1,90,40
0,49,63
1,4,18
1,54,44
1,41,21
1,32,13
0,92,67
1,6,15
1,80,25
1,21,15
1,53,31
1,50,24
0,69,67
0,90,74
0,59,70
0,71,74
0,56,76
1,54,8
0,67,66
1,13,18
1,17,6
1,22,19
1,55,36
0,99,63
1,74,40
1,67,33
0,88,63
0,91,80
0,89,75
1,57,27
0,89,87
1,51,18
1,68,23
1,46,5
0,93,88
1,60,36
1,83,39
0,90,81
1,59,11
0,64,73
1,59,16
0,69,94
1,63,19
1,27,36
0,83,82
0,75,73
1,71,19
1,54,22
0,92,71
1,76,32
1,71,36
1,42,38
0,61,76
1,71,32
1,12,23
1,79,58
1,43,26
0,67,81
1,77,26
0,77,86
1,74,25
0,99,79
1,53,29
1,62,31
1,9,20
0,89,77
0,80,68
0,65,81
1,56,22
1,79,39
1,42,3
1,19,19
0,35,68
1,32,6
1,22,27
1,74,46
1,35,13
1,58,1
0,77,78
0,99,68
0,88,67
0,68,72
1,7,13
0,40,81
0,97,75
0,86,65
1,11,26
1,12,33
0,71,70
0,68,83
1,82,57
1,37,8
1,18,27
1,84,25
0,74,73
0,61,75
1,46,38
1,63,51
0,75,89
1,8,9
1,25,19
0,72,78
0,73,75
1,34,27
1,67,35
1,24,21
0,77,82
1,43,26
1,20,41
1,59,22
0,87,65
1,47,32
0,81,81
1,35,28
1,65,21
1,8,17
0,95,83
0,88,74
1,92,33
0,49,73
0,62,82
0,80,74
1,42,1
0,73,83
0,77,66
1,50,43
0,80,73
1,32,26
0,90,77
0,75,67
0,45,74
0,91,72
0,79,69
1,13,13
0,60,70
1,32,13
0,77,79
1,13,23
0,81,66
1,42,28
0,82,70
0,88,65
1,17,17
1,66,44
1,77,38
1,61,23
1,26,30
1,20,28
1,83,21
1,82,34
1,57,40
0,90,79
1,56,36
1,61,23
1,36,4
0,60,80
0,83,65
1,36,18
1,16,10
0,79,57
1,45,20
1,64,20
0,83,76
1,63,47
0,92,77
1,78,14
1,46,31
1,67,60
1,50,38
1,44,45
1,87,31
0,92,80
1,60,14
1,54,34
1,77,27
1,71,26
1,79,26
0,59,65
0,49,60
0,67,73
0,68,79
0,91,82
0,84,80
1,38,36
0,96,71
1,78,57
1,50,34
1,5,17
1,40,14
1,37,5
1,47,45
1,4,23
0,67,90
1,30,16
1,32,32
1,53,30
0,67,76
0,87,78
1,1,10
0,74,68
1,75,30
0,81,72
1,21,11
0,63,71
0,97,90
0,97,60
1,52,26
1,88,35
1,41,24
1,68,34
0,89,85
0,71,83
1,33,9
1,72,24
1,10,5
1,24,19
0,77,83
0,81,74
1,80,19
1,98,28
0,81,69
1,10,23
1,69,27
1,25,34
1,36,23
0,97,80
1,79,40
1,42,25
1,65,20
1,23,23
